id,book_url,name,author,author_url,score,isbn,rating,rating_count,review_count,page_count,year,genres
3636,/book/show/3636.The_Giver,"The Giver (The Giver, #1)",Lois Lowry,https://www.goodreads.com/author/show/2493.Lois_Lowry,407741,9780385732550,4.13,1731244,64335,208,2006,Young Adult
168668,/book/show/168668.Catch_22,"Catch-22 (Catch-22, #1)",Joseph Heller,https://www.goodreads.com/author/show/3167.Joseph_Heller,404912,9780684833392,3.98,709855,17852,453,2004,Classics
44767458,/book/show/44767458-dune,"Dune (Dune, #1)",Frank Herbert,https://www.goodreads.com/author/show/58.Frank_Herbert,400992,9780593099322,4.23,720389,20979,688,2019,Science Fiction
5043,/book/show/5043.The_Pillars_of_the_Earth,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,https://www.goodreads.com/author/show/3447.Ken_Follett,389106,null,4.32,632406,30725,976,2002,Historical
149267,/book/show/149267.The_Stand,The Stand,Stephen King,https://www.goodreads.com/author/show/3389.Stephen_King,387169,9780385199575,4.34,598529,19607,1153,1990,Horror
3590,/book/show/3590.The_Adventures_of_Sherlock_Holmes,The Adventures of Sherlock Holmes,Arthur Conan Doyle,https://www.goodreads.com/author/show/2448.Arthur_Conan_Doyle,372926,null,4.30,235715,6547,389,1998,Classics
76620,/book/show/76620.Watership_Down,"Watership Down (Watership Down, #1)",Richard  Adams,https://www.goodreads.com/author/show/7717.Richard_Adams,369367,9780380395866,4.06,424104,13441,478,1975,Classics
2623,/book/show/2623.Great_Expectations,Great Expectations,Charles Dickens,https://www.goodreads.com/author/show/239579.Charles_Dickens,362348,9780192833594,3.78,636293,15616,505,1998,Classics
332613,/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,One Flew Over the Cuckoo's Nest,Ken Kesey,https://www.goodreads.com/author/show/7285.Ken_Kesey,346817,null,4.19,619142,10621,325,1963,Classics
6514,/book/show/6514.The_Bell_Jar,The Bell Jar,Sylvia Plath,https://www.goodreads.com/author/show/4379.Sylvia_Plath,345857,null,4.01,574540,22362,294,2006,Classics
15823480,/book/show/15823480-anna-karenina,Anna Karenina,Leo Tolstoy,https://www.goodreads.com/author/show/128382.Leo_Tolstoy,342479,null,4.05,648579,23342,964,2012,Classics
1934,/book/show/1934.Little_Women,Little Women,Louisa May Alcott,https://www.goodreads.com/author/show/1315.Louisa_May_Alcott,341014,9780451529305,4.08,1639339,29427,449,2004,Classics
10917,/book/show/10917.My_Sister_s_Keeper,My Sister's Keeper,Jodi Picoult,https://www.goodreads.com/author/show/7128.Jodi_Picoult,339385,9780743454537,4.08,1042128,33215,423,2005,Fiction
10964,/book/show/10964.Outlander,"Outlander (Outlander, #1)",Diana Gabaldon,https://www.goodreads.com/author/show/3617.Diana_Gabaldon,337937,9780440242949,4.23,798845,44736,850,2005,Historical
2429135,/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,https://www.goodreads.com/author/show/706255.Stieg_Larsson,335240,null,4.14,2546719,68102,465,2008,Fiction
136251,/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,333937,9780545010221,4.62,2727866,63849,759,2007,Fantasy
39988,/book/show/39988.Matilda,Matilda,Roald Dahl,https://www.goodreads.com/author/show/4273.Roald_Dahl,332753,9780141301068,4.32,617817,15965,240,1998,Childrens
34,/book/show/34.The_Fellowship_of_the_Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,332424,9780618346257,4.36,2306627,21719,398,2003,Fantasy
17899948,/book/show/17899948-rebecca,Rebecca,Daphne du Maurier,https://www.goodreads.com/author/show/2001717.Daphne_du_Maurier,328317,9780316323703,4.23,431126,22191,449,2013,Classics
52892857,/book/show/52892857-the-color-purple,The Color Purple,Alice Walker,https://www.goodreads.com/author/show/7380.Alice_Walker,315226,9780143135692,4.21,504945,14486,304,2019,Classics
14891,/book/show/14891.A_Tree_Grows_in_Brooklyn,A Tree Grows in Brooklyn,Betty  Smith,https://www.goodreads.com/author/show/2327917.Betty_Smith,307985,9780061120077,4.27,381044,20191,496,2006,Classics
40961427,/book/show/40961427-1984,1984,George Orwell,https://www.goodreads.com/author/show/3706.George_Orwell,302666,null,4.18,3028465,67126,237,2013,Classics
41817486,/book/show/41817486-a-clockwork-orange,A Clockwork Orange,Anthony Burgess,https://www.goodreads.com/author/show/5735.Anthony_Burgess,300770,9780393341768,3.99,585745,13391,240,2019,Classics
6288,/book/show/6288.The_Road,The Road,Cormac McCarthy,https://www.goodreads.com/author/show/4178.Cormac_McCarthy,298860,9780307265432,3.97,700693,45022,241,2006,Fiction
4934,/book/show/4934.The_Brothers_Karamazov,The Brothers Karamazov,Fyodor Dostoyevsky,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoyevsky,296436,9780374528379,4.32,235664,10667,796,2002,Classics
252577,/book/show/252577.Angela_s_Ashes,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,https://www.goodreads.com/author/show/3347.Frank_McCourt,289292,9780007205233,4.11,528350,11734,452,2005,Nonfiction
345627,/book/show/345627.Vampire_Academy,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,https://www.goodreads.com/author/show/137902.Richelle_Mead,275064,9781595141743,4.12,536169,21932,332,2007,Young Adult
7244,/book/show/7244.The_Poisonwood_Bible,The Poisonwood Bible,Barbara Kingsolver,https://www.goodreads.com/author/show/3541.Barbara_Kingsolver,270086,9780060786502,4.06,649693,22953,546,2005,Fiction
52036,/book/show/52036.Siddhartha,Siddhartha,Hermann Hesse,https://www.goodreads.com/author/show/1113469.Hermann_Hesse,269875,null,4.03,564222,16870,152,1981,Classics
119322,/book/show/119322.The_Golden_Compass,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,https://www.goodreads.com/author/show/3618.Philip_Pullman,252048,9780679879244,3.98,1255441,21641,399,1996,Fantasy
3836,/book/show/3836.Don_Quixote,Don Quixote,Miguel de Cervantes Saavedra,https://www.goodreads.com/author/show/4037220.Miguel_de_Cervantes_Saavedra,250997,9780142437230,3.88,202768,7800,1023,2003,Classics
662,/book/show/662.Atlas_Shrugged,Atlas Shrugged,Ayn Rand,https://www.goodreads.com/author/show/432.Ayn_Rand,247498,9780452011878,3.69,348284,17066,1168,1999,Classics
2165,/book/show/2165.The_Old_Man_and_the_Sea,The Old Man and the Sea,Ernest Hemingway,https://www.goodreads.com/author/show/1455.Ernest_Hemingway,231988,9780684830490,3.78,806160,24262,96,1996,Classics
5,/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,230240,9780439655484,4.57,2707133,53478,435,2004,Fantasy
33648131,/book/show/33648131-the-notebook,"The Notebook (The Notebook, #1)",Nicholas Sparks,https://www.goodreads.com/author/show/2345.Nicholas_Sparks,226072,null,4.10,1302293,19737,227,2000,Romance
99107,/book/show/99107.Winnie_the_Pooh,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,https://www.goodreads.com/author/show/81466.A_A_Milne,214892,9780525467564,4.35,261110,4620,145,2001,Classics
23919,/book/show/23919.The_Complete_Stories_and_Poems,The Complete Stories and Poems,Edgar Allan Poe,https://www.goodreads.com/author/show/4624490.Edgar_Allan_Poe,214007,9780385074070,4.38,213208,2169,821,1984,Classics
4473,/book/show/4473.A_Prayer_for_Owen_Meany,A Prayer for Owen Meany,John Irving,https://www.goodreads.com/author/show/3075.John_Irving,205955,9780552135399,4.23,282797,13594,637,1990,Fiction
43763,/book/show/43763.Interview_with_the_Vampire,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,https://www.goodreads.com/author/show/7577.Anne_Rice,205132,9780345476876,4.00,473309,9963,342,2004,Horror
153747,/book/show/153747.Moby_Dick_or_the_Whale,"Moby-Dick or, the Whale",Herman Melville,https://www.goodreads.com/author/show/1624.Herman_Melville,201101,9780142437247,3.50,470996,15165,654,2003,Classics
4989,/book/show/4989.The_Red_Tent,The Red Tent,Anita Diamant,https://www.goodreads.com/author/show/626222.Anita_Diamant,180776,9780312353766,4.18,511585,19051,336,2005,Historical
37435,/book/show/37435.The_Secret_Life_of_Bees,The Secret Life of Bees,Sue Monk Kidd,https://www.goodreads.com/author/show/4711.Sue_Monk_Kidd,178535,9780142001745,4.05,1099337,30087,302,2003,Fiction
6,/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,172235,null,4.56,2512466,44868,734,2002,Fantasy
7171637,/book/show/7171637-clockwork-angel,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,https://www.goodreads.com/author/show/150038.Cassandra_Clare,171602,9781416975861,4.33,642285,30753,481,2010,Fantasy
16299,/book/show/16299.And_Then_There_Were_None,And Then There Were None,Agatha Christie,https://www.goodreads.com/author/show/123715.Agatha_Christie,157462,9780312330873,4.26,778107,31315,264,2004,Mystery
2187,/book/show/2187.Middlesex,Middlesex,Jeffrey Eugenides,https://www.goodreads.com/author/show/1467.Jeffrey_Eugenides,156279,9780312422158,4.01,574954,22956,529,2003,Fiction
1,/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,155950,null,4.57,2365928,38090,652,2006,Fantasy
49552,/book/show/49552.The_Stranger,The Stranger,Albert Camus,https://www.goodreads.com/author/show/957894.Albert_Camus,154101,null,3.98,682372,22355,123,1989,Classics
117833,/book/show/117833.The_Master_and_Margarita,The Master and Margarita,Mikhail Bulgakov,https://www.goodreads.com/author/show/3873.Mikhail_Bulgakov,149737,9780679760801,4.29,233033,11056,335,1996,Fiction
186074,/book/show/186074.The_Name_of_the_Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,https://www.goodreads.com/author/show/108424.Patrick_Rothfuss,149062,9780756404079,4.54,689482,40786,662,2007,Fantasy
11588,/book/show/11588.The_Shining,The Shining,Stephen King,https://www.goodreads.com/author/show/3389.Stephen_King,148345,9780450040184,4.23,1091201,23558,659,1980,Horror
24583,/book/show/24583.The_Adventures_of_Tom_Sawyer,The Adventures of Tom Sawyer,Mark Twain,https://www.goodreads.com/author/show/1244.Mark_Twain,146074,9780143039563,3.91,740312,9703,244,2006,Classics
113436,/book/show/113436.Eragon,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,https://www.goodreads.com/author/show/8349.Christopher_Paolini,143209,9780375826696,3.90,1403688,21760,503,2005,Fantasy
6310,/book/show/6310.Charlie_and_the_Chocolate_Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,https://www.goodreads.com/author/show/4273.Roald_Dahl,142672,9780142403884,4.14,643197,11609,176,2005,Childrens
36576608,/book/show/36576608-flowers-for-algernon,Flowers for Algernon,Daniel Keyes,https://www.goodreads.com/author/show/11072.Daniel_Keyes,140293,null,4.13,465403,17626,216,1966,Fiction
